Off_abbrev,Def_abbrev,fga,fgm,xpa,xpm,fga_0_39,fgm_0_39,fga_40_49,fgm_40_49,fga_50,fgm_50,player,vis_team,home_team,week
BUF,LAR,1,1,4,4,0,0,0,0,0,0,Tyler Bass,BUF,LAR,1
LAR,BUF,1,1,1,1,0,0,0,0,1,1,Matt Gay,BUF,LAR,1
ATL,NOR,5,4,2,2,1,1,1,1,3,2,Younghoe Koo,NOR,ATL,1
NOR,ATL,3,2,1,1,0,0,2,1,1,1,Wil Lutz,NOR,ATL,1
CAR,CLE,1,1,3,3,1,1,0,0,0,0,Eddy Pineiro,CLE,CAR,1
CLE,CAR,4,4,2,2,3,3,0,0,1,1,Cade York,CLE,CAR,1
SFO,CHI,1,1,1,1,1,1,0,0,0,0,Robbie Gould,SFO,CHI,1
FA,0,0,0,3,1,0,0,0,0,0,0,Cairo Santos,SFO,CHI,1
CIN,PIT,3,2,1,0,2,1,0,0,1,1,Evan McPherson,PIT,CIN,1
PIT,CIN,4,3,2,2,1,1,1,1,2,1,Chris Boswell,PIT,CIN,1
KAN,ARI,1,1,4,4,0,0,0,0,0,0,Harrison Butker,KAN,ARI,1
FA,0,0,0,1,1,0,0,0,0,0,0,Matt Prater,KAN,ARI,1
FA,0,0,0,2,1,0,0,0,0,0,0,Justin Reid,KAN,ARI,1
TAM,DAL,5,4,1,1,3,2,2,2,0,0,Ryan Succop,TAM,DAL,1
DAL,TAM,1,1,0,0,0,0,0,0,1,1,Brett Maher,TAM,DAL,1
FA,0,0,1,5,5,1,1,0,0,0,0,Jake Elliott,PHI,DET,1
FA,0,0,0,5,5,0,0,0,0,0,0,Austin Seibert,PHI,DET,1
HOU,IND,2,2,2,2,0,0,0,0,0,0,Ka'imi Fairbairn,IND,HOU,1
IND,HOU,3,2,2,2,0,0,0,0,0,0,Rodrigo Blankenship,IND,HOU,1
MIA,NWE,2,2,2,2,0,0,2,2,0,0,Jason Sanders,NWE,MIA,1
FA,0,0,0,1,1,0,0,0,0,0,0,Nick Folk,NWE,MIA,1
MIN,GNB,3,3,2,2,2,2,0,0,1,1,Greg Joseph,GNB,MIN,1
FA,0,0,0,1,1,0,0,0,0,0,0,Mason Crosby,GNB,MIN,1
NYJ,BAL,2,1,1,0,0,0,0,0,0,0,Greg Zuerlein,BAL,NYJ,1
BAL,NYJ,1,1,3,3,1,1,0,0,0,0,Justin Tucker,BAL,NYJ,1
FA,0,0,0,1,1,0,0,0,0,0,0,Graham Gano,NYG,TEN,1
TEN,NYG,3,2,2,2,1,1,2,1,0,0,Randy Bullock,NYG,TEN,1
LVR,LAC,2,2,1,1,1,1,0,0,1,1,Daniel Carlson,LVR,LAC,1
LAC,LVR,2,1,3,3,0,0,0,0,0,0,Dustin Hopkins,LVR,LAC,1
FA,0,0,0,2,2,0,0,0,0,0,0,Joey Slye,JAX,ERROR - abbrev_team,1
JAX,ERROR - abbrev_team,4,3,1,1,2,1,2,2,0,0,Riley Patterson,JAX,ERROR - abbrev_team,1
DEN,SEA,4,3,1,1,2,2,1,1,1,0,Brandon McManus,DEN,SEA,1
SEA,DEN,1,1,2,2,0,0,1,1,0,0,Jason Myers,DEN,SEA,1
KAN,LAC,2,2,3,3,2,2,0,0,0,0,Matt Ammendola,LAC,KAN,2
LAC,KAN,1,1,3,3,1,1,0,0,0,0,Dustin Hopkins,LAC,KAN,2
CLE,NYJ,1,1,4,3,1,1,0,0,0,0,Cade York,NYJ,CLE,2
NYJ,CLE,1,1,4,4,0,0,0,0,1,1,Greg Zuerlein,NYJ,CLE,2
CIN,DAL,3,3,0,0,0,0,2,2,1,1,Evan McPherson,CIN,DAL,2
DAL,CIN,2,2,2,2,0,0,0,0,2,2,Brett Maher,CIN,DAL,2
DEN,HOU,3,3,1,1,0,0,0,0,0,0,Brandon McManus,HOU,DEN,2
HOU,DEN,3,3,0,0,1,1,2,2,0,0,Ka'imi Fairbairn,HOU,DEN,2
DET,ERROR - abbrev_team,2,2,4,4,1,1,1,1,0,0,Austin Seibert,ERROR - abbrev_team,DET,2
FA,0,0,0,2,1,0,0,0,0,0,0,Joey Slye,ERROR - abbrev_team,DET,2
CHI,GNB,1,1,1,1,0,0,1,1,0,0,Cairo Santos,CHI,GNB,2
GNB,CHI,2,2,3,3,1,1,1,1,0,0,Mason Crosby,CHI,GNB,2
JAX,IND,1,1,3,3,0,0,0,0,0,0,Riley Patterson,IND,JAX,2
TAM,NOR,2,2,2,2,0,0,2,2,0,0,Ryan Succop,TAM,NOR,2
NOR,TAM,1,1,1,1,1,1,0,0,0,0,Wil Lutz,TAM,NOR,2
CAR,NYG,3,3,1,1,3,3,0,0,0,0,Eddy Pineiro,CAR,NYG,2
NYG,CAR,4,4,1,1,2,2,0,0,2,2,Graham Gano,CAR,NYG,2
NWE,PIT,2,1,2,2,1,1,0,0,1,0,Nick Folk,NWE,PIT,2
PIT,NWE,2,2,0,0,1,1,0,0,1,1,Chris Boswell,NWE,PIT,2
LVR,ARI,3,3,2,2,0,0,0,0,0,0,Daniel Carlson,ARI,LVR,2
FA,0,0,0,1,1,0,0,0,0,0,0,Matt Prater,ARI,LVR,2
ATL,LAR,2,1,2,2,0,0,0,0,0,0,Younghoe Koo,ATL,LAR,2
LAR,ATL,1,1,4,4,1,1,0,0,0,0,Matt Gay,ATL,LAR,2
FA,0,0,0,6,6,0,0,0,0,0,0,Jason Sanders,MIA,BAL,2
BAL,MIA,1,1,5,5,0,0,0,0,1,1,Justin Tucker,MIA,BAL,2
