player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,vis_team,home_team,week
AlleJo02,QB,Josh Allen,BUF,26,31,297,3,2,2,5,53,112.0,10,56,1,13,0,0,0,0,0,0,5,5,43,38,5,LAR,0,0,0,227,3,7,0,36,20,0,0.0,0,0,BUF,LAR,1
SingDe00,RB,Devin Singletary,BUF,0,0,0,0,0,0,0,0,0.0,8,48,0,13,2,2,14,0,8,0,0,8,8,0,8,LAR,0,0,0,0,0,0,0,33,15,0,-8.0,22,0,BUF,LAR,1
MossZa00,RB,Zack Moss,BUF,0,0,0,0,0,0,0,0,0.0,6,15,0,8,6,6,21,0,8,1,0,6,6,0,6,LAR,0,0,0,0,0,0,0,12,3,0,-1.2,22,0,BUF,LAR,1
CookJa01,RB,James Cook,BUF,0,0,0,0,0,0,0,0,0.0,1,2,0,2,0,0,0,0,0,1,0,1,1,0,1,LAR,0,0,0,0,0,0,0,2,0,0,0.0,0,0,BUF,LAR,1
DiggSt00,WR,Stefon Diggs,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,8,122,1,53,0,0,0,0,0,0,LAR,0,0,0,0,0,0,0,0,0,0,99.0,27,0,BUF,LAR,1
DaviGa01,WR,Gabriel Davis,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4,88,1,47,0,0,0,0,0,0,LAR,0,0,0,0,0,0,0,0,0,0,87.0,18,0,BUF,LAR,1
CrowJa00,WR,Jamison Crowder,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,3,28,0,11,0,0,0,0,0,0,LAR,0,0,0,0,0,0,0,0,0,0,24.0,16,0,BUF,LAR,1
McKeIs00,WR,Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,19,1,12,0,0,0,0,0,0,LAR,0,0,0,0,0,0,0,0,0,0,23.1,1,1,BUF,LAR,1
KnoxDa00,TE,Dawson Knox,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,5,0,5,0,0,0,0,0,0,LAR,0,0,0,0,0,0,0,0,0,0,3.0,8,0,BUF,LAR,1
StafMa00,QB,Matthew Stafford,LAR,29,41,240,1,3,7,49,28,63.1,1,2,0,2,0,0,0,0,0,0,1,0,49,49,0,BUF,0,0,0,239,7,1,1,2,0,0,0.0,0,0,BUF,LAR,1
HendDa00,RB,Darrell Henderson,LAR,0,0,0,0,0,0,0,0,0.0,13,47,0,18,5,5,26,0,10,0,0,13,13,0,13,BUF,0,0,0,0,0,0,0,30,17,0,2.0,24,0,BUF,LAR,1
PoweBr00,WR,Brandon Powell,LAR,0,0,0,0,0,0,0,0,0.0,1,3,0,3,1,1,10,0,10,0,0,1,1,0,1,BUF,0,0,0,0,0,0,0,3,0,0,3.0,7,0,BUF,LAR,1
KuppCo00,WR,Cooper Kupp,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,15,13,128,1,28,0,0,0,0,0,0,BUF,0,0,0,0,0,0,0,0,0,0,115.5,57,0,BUF,LAR,1
HigbTy00,TE,Tyler Higbee,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,5,39,0,11,0,0,0,0,0,0,BUF,0,0,0,0,0,0,0,0,0,0,18.7,27,2,BUF,LAR,1
SkowBe00,WR,Ben Skowronek,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,4,25,0,12,0,0,0,0,0,0,BUF,0,0,0,0,0,0,0,0,0,0,66.0,9,0,BUF,LAR,1
RobiAl02,WR,Allen Robinson,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,12,0,12,0,0,0,0,0,0,BUF,0,0,0,0,0,0,0,0,0,0,28.0,0,0,BUF,LAR,1
AkerCa00,RB,Cam Akers,LAR,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,BUF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,BUF,LAR,1
AtweTu00,WR,Tutu Atwell,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BUF,0,0,0,0,0,0,0,0,0,0,5.0,0,0,BUF,LAR,1
GillRe00,FB,Reggie Gilliam,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAR,0,0,0,0,0,0,0,0,0,0,0.0,0,0,BUF,LAR,1
KumeJa00,WR,Jake Kumerow,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAR,0,0,0,0,0,0,0,0,0,0,0.0,0,0,BUF,LAR,1
